;AGG0;AGG1;AGG2;;;;;
yahoo_29;0.703496;0.687410;0.674618;;;;;
yahoo_30;0.619850;0.637295;0.641657;;;;;
slashdot_1;0.498937;0.498388;0.465945;;;;;
slashdot_2;0.509859;0.536887;0.458690;;;;;
slashdot_3;0.206191;0.516349;0.432517;;;;;
slashdot_20;0.283553;0.249183;0.286606;;;;;
slashdot_21;0.400622;0.243092;0.230803;;;;;
Human_PseAAc_1;0.690057;0.690057;0.625398;;;;;
Human_PseAAc_2;0.351291;0.351290;0.351290;;;;;
Human_PseAAc_3;0.646258;0.646258;0.646258;;;;;
Human_PseAAc_20;0.636198;0.636198;0.636198;;;;;
Human_PseAAc_21;0.683023;0.683023;0.683023;;;;;
scene_1;0.752698;0.738115;0.682385;;;;;
scene_2;0.741308;0.717007;0.717171;;;;;
scene_3;0.741267;0.744374;0.736366;;;;;
scene_4;0.745009;0.766011;0.760569;;;;;
scene_5;0.702994;0.726342;0.731907;;;;;
scene_6;0.642335;0.650280;0.642840;;;;;
scene_7;0.771609;0.775329;0.799015;;;;;
scene_8;0.840466;0.832321;0.799113;;;;;
scene_9;0.818092;0.792759;0.797184;;;;;
scene_10;0.817222;0.836753;0.781180;;;;;
scene_11;0.769143;0.769111;0.749079;;;;;
scene_12;0.794064;0.794385;0.789577;;;;;
scene_13;0.765091;0.773093;0.788841;;;;;
scene_14;0.697868;0.749072;0.693580;;;;;
scene_15;0.767520;0.700694;0.781909;;;;;
scene_16;0.732660;0.709397;0.724223;;;;;
scene_17;0.781748;0.798181;0.809900;;;;;
scene_18;0.696294;0.768875;0.728552;;;;;
scene_19;0.760033;0.739636;0.743769;;;;;
scene_20;0.786923;0.771385;0.798923;;;;;
scene_21;0.845732;0.829419;0.837575;;;;;
scene_22;0.675094;0.707247;0.703505;;;;;
scene_23;0.676727;0.760143;0.766286;;;;;
scene_24;0.621322;0.605755;0.614230;;;;;
scene_25;0.708072;0.736724;0.757016;;;;;
scene_26;0.710874;0.671191;0.714350;;;;;
scene_27;0.638714;0.614701;0.619145;;;;;
scene_28;0.811856;0.823636;0.815731;;;;;
scene_29;0.829781;0.822063;0.806063;;;;;
scene_30;0.718295;0.733220;0.709674;;;;;
tmc2007_500_1;0.783104;0.780523;0.777225;;;;;
tmc2007_500_2;0.778061;0.728935;0.747981;;;;;
tmc2007_500_3;0.766463;0.753387;0.765049;;;;;
tmc2007_500_4;0.806684;0.788944;0.779807;;;;;
tmc2007_500_5;0.729036;0.716924;0.754258;;;;;
tmc2007_500_6;0.746043;0.717706;0.746508;;;;;
tmc2007_500_7;0.522082;0.524333;0.508970;;;;;
tmc2007_500_8;0.828069;0.823060;0.804575;;;;;
tmc2007_500_9;0.821670;0.751627;0.806521;;;;;
tmc2007_500_10;0.833227;0.821150;0.828192;;;;;
tmc2007_500_11;0.512748;0.528126;0.538412;;;;;
tmc2007_500_12;0.783684;0.750678;0.762180;;;;;
tmc2007_500_13;0.801673;0.778844;0.799263;;;;;
tmc2007_500_14;0.739207;0.719152;0.686472;;;;;
tmc2007_500_15;0.708138;0.694602;0.690388;;;;;
tmc2007_500_16;0.639868;0.719196;0.650214;;;;;
tmc2007_500_17;0.727572;0.691337;0.735266;;;;;
tmc2007_500_18;0.773806;0.739963;0.747259;;;;;
tmc2007_500_19;0.735725;0.677857;0.713181;;;;;
tmc2007_500_20;0.785671;0.761186;0.761091;;;;;
tmc2007_500_21;0.801099;0.809974;0.798883;;;;;
tmc2007_500_22;0.804909;0.784749;0.782228;;;;;
tmc2007_500_23;0.735215;0.677446;0.706286;;;;;
tmc2007_500_24;0.717959;0.697268;0.693359;;;;;
tmc2007_500_25;0.719375;0.698261;0.686906;;;;;
tmc2007_500_26;0.806648;0.795105;0.779678;;;;;
tmc2007_500_27;0.835574;0.777541;0.810154;;;;;
tmc2007_500_28;0.768365;0.729099;0.758610;;;;;
tmc2007_500_29;0.805780;0.795925;0.808936;;;;;
tmc2007_500_30;0.819131;0.826980;0.819078;;;;;
